element,level,t,r,theta,phi,pred spherical_coordinates_N1675k.csv
1609752,59,0.735688043275288,0.023614013538755776,0.5802245856539929,0.6981404843401041,[1590034]
1609755,59,0.7356952878558536,0.04553883208484556,0.29082107936951046,0.6792856604772705,[1588109 1596744]
1613513,60,0.7395498568907225,0.02009119612514265,0.48696460268577907,0.6776715092640211,[1609752]
1621299,60,0.747983369590511,0.05204850024927062,0.34734514098803076,0.7704563717830468,[1609755]
1617505,61,0.7437722273331953,0.022816076226272235,0.5499711775267604,0.69237426353977,[1613513]
1628445,61,0.7567583354772174,0.051070325963606944,0.36895376619677345,0.6357486481762108,[1621299]
1626785,62,0.7547063286089196,0.017769378201769007,-0.006604332823540233,0.9333778766861757,[1617505]
1631064,62,0.7602546511066626,0.051618929542713465,0.4217749680594457,0.6237577578574376,[1628445]
1631280,62,0.7605478805897319,0.030202861137428982,1.1904521416670462,0.5502120367305813,[1617505]
1631686,62,0.7610908542753614,0.03541679479149192,0.8113266705593448,0.9749620192332362,[1617505]
1636526,63,0.7679816469313097,0.03532149663759426,0.8034305539986246,0.7960617545354939,[1631686]
1637105,63,0.7687807176179351,0.03221141889330959,1.2905609668776028,0.4209386440544678,[1631280]
1639459,63,0.7724555260339673,0.027608915130308602,-0.640025704060563,0.834917734308293,[1626785]
1642810,63,0.7779989192263748,0.05157199525949108,0.6922294215309874,0.6851354364761808,[1631064]
1643850,63,0.7797371401671114,0.05612378918181098,0.5971751753236916,0.3474104673926736,[1631064]
1645132,64,0.7819204368533343,0.0436985958915227,0.9735100767342171,0.7648261759204583,[1636526]
1646127,64,0.7836343219714654,0.03809230610653161,1.2354502697757517,0.6058427830637491,[1636526 1637105]
1646270,64,0.783877933212218,0.03351955102583245,-0.6646545463544516,0.7735158099481716,[1639459]
1647527,64,0.7863001481337628,0.057290523874052084,0.5741143134208329,0.6216248959762295,[1642810]
1651241,64,0.7938381105994756,0.058005370787993844,0.8162363424453813,0.43988035159999783,[1642810 1643850]
1651424,64,0.7941903725278799,0.038118023729376026,2.386121841081742,0.4703258303045969,[1637105]
1652692,65,0.797041617426429,0.0409928583377234,1.588451592499917,0.6287750962944401,[1646127]
1652703,65,0.7970699911099344,0.02953649044348822,-0.2735908308875093,0.47944258826620095,[1646270]
1652712,65,0.797083447235651,0.047002083991025775,1.2664174940849513,0.3789278837952409,[1646127]
1654749,65,0.8017357207592167,0.03940532870555413,2.344625377103955,0.42339706591458826,[1651424]
